"Report","Type","Analyzed on","Status","Findings","Risk Score","Action"
"Security_report_May24.pdf
                                                        2.4 MB","PDF","May 24, 2025
                                                10:30 AM","Completed","24
                                                    4 Critical","82%","View"
"Scan_results_May23.json
                                                        1.8 MB","JSON","May 23, 2025
                                                04:15 PM","Completed","17
                                                    3 Critical","67%","View"
"Pentest_report_May22.pdf
                                                        3.1 MB","PDF","May 22, 2025
                                                11:32 AM","Completed","31
                                                    7 Critical","91%","View"
"Vulnerability-Scan.csv
                                                        2.7 MB","CSV","May 21, 2025
                                                08:45 AM","Completed","12
                                                    1 Critical","45%","View"
"Security_report_May24.pdf
                                                        2.4 MB","PDF","May 24, 2025
                                                10:30 AM","Completed","24
                                                    4 Critical","82%","View"
"API_Security_Audit.json
                                                        1.3 MB","JSON","May 19, 2025
                                                03:55 AM","Completed","15
                                                    2 Critical","56%","View"
"Network_Scan_May18.pdf
                                                        1.9 MB","PDF","May 18, 2025
                                                10:45 AM","Completed","22
                                                    3 Critical","64%","View"
"Code_Review_Report.csv
                                                        1.6 MB","CSV","May 17, 2025
                                                03:20 PM","Completed","18
                                                    2 Critical","51%","View"
"Web_App_Security_Report.pdf
                                                        2.1 MB","PDF","May 16, 2025
                                                01:15 PM","Completed","27
                                                    5 Critical","75%","View"
"Cloud_Security_Audit.csv
                                                        2.9 MB","CSV","May 15, 2025
                                                09:40 AM","Completed","14
                                                    2 Critical","53%","View"
